Pe,Vf,Xb_s,Flux_G,Flux_D,Efficiency,Efficiency MB
100,2.727272727272728e-08,0.09090909090909091,2.338728983551846,-0.8761592063483477,0.3746304990917408,0.3813336236702588
100,2.727272727272728e-08,0.18181818181818182,2.327155360031611,-0.8411485867509327,0.3614492617027111,0.35833821158768053
100,2.727272727272728e-08,0.27272727272727276,2.3112742156372406,-0.7402908469466638,0.32029555036703355,0.33942896915182785
100,2.727272727272728e-08,0.36363636363636365,2.2437816896563163,-0.7335810900149227,0.3269396008518487,0.323291207463691
100,2.727272727272728e-08,0.4545454545454546,2.261061824625358,-0.6872813058907923,0.30396395994376224,0.3092157403775567
100,2.727272727272728e-08,0.5454545454545455,2.199025985006301,-0.6585266524311919,0.29946287898426305,0.29675352925785825
100,2.727272727272728e-08,0.6363636363636364,2.1262906967604067,-0.5795440541260177,0.27256106373837063,0.2855948217414672
100,2.727272727272728e-08,0.7272727272727273,2.211743175314041,-0.5799354846485585,0.2622074258536888,0.2755139855879938
100,2.727272727272728e-08,0.8181818181818182,2.1569011748797493,-0.5820069540250188,0.26983478000908717,0.26634027184472664
100,2.727272727272728e-08,0.9090909090909092,2.1306631413608557,-0.5527569628952733,0.25942954198861634,0.25794073251466965
100,2.727272727272728e-08,1.0,1.9153272038383875,-0.5339232104231542,0.2787634454066919,0.2502095253865667
